Time Stamp,CAN ID,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Flag
1478198377,440,8,ff,0,0,0,ff,ca,8,0,Normal
1478198377,316,8,5,21,70,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,68,1e,Normal
1478198377,02a0,8,24,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,0c,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,59,0,8a,0,0,0,0,Normal
1478198377,2,8,0,0,0,0,0,9,1,1,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
1478198377,130,8,15,80,0,ff,21,80,1,ea,Normal
1478198377,131,8,e0,7f,0,0,30,7f,1,0e,Normal
1478198377,140,8,0,0,0,0,0c,29,21,f9,Normal
1478198377,350,8,5,20,74,68,77,0,0,4e,Normal
1478198377,043f,8,0,40,60,ff,7e,cc,8,0,Normal
1478198377,370,8,0,20,0,0,0,0,0,0,Normal
1478198377,440,8,ff,0,0,0,ff,cc,8,0,Normal
1478198377,316,8,5,21,70,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,6c,2b,Normal
1478198377,02a0,8,44,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,0c,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,0,0,8a,0,0,0,0,Normal
1478198377,04f0,8,0,0,0,80,0,69,d1,13,Normal
1478198377,690,8,0,0,1,0,a0,22,0,0,Normal
1478198377,430,8,0,0,0,0,0,0,0,0,Normal
1478198377,04b1,8,29,27,27,23,0,0,0,9a,Normal
1478198377,01f1,8,8,0,0,0,0,0,0,0,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,2,8,0,0,0,0,0,9,2,26,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
1478198377,350,8,5,20,84,68,77,0,0,be,Normal
1478198377,130,8,0a,80,0,ff,44,80,2,f1,Normal
1478198377,131,8,db,7f,0,0,3b,7f,2,4a,Normal
1478198377,140,8,0,0,0,0,0e,29,22,dd,Normal
1478198377,370,8,0,20,0,0,0,0,0,0,Normal
1478198377,043f,8,0,40,60,ff,7e,cd,8,0,Normal
1478198377,440,8,ff,0,0,0,ff,cd,8,0,Normal
1478198377,316,8,5,21,70,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,6c,3c,Normal
1478198377,02a0,8,64,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,0c,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,0,0,8a,0,0,0,0,Normal
1478198377,2,8,0,0,0,0,0,9,3,3b,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
1478198377,130,8,7,80,0,ff,48,80,3,0,Normal
1478198377,131,8,ee,7f,0,0,42,7f,3,7e,Normal
1478198377,140,8,0,0,0,0,10,33,23,a7,Normal
1478198377,350,8,5,20,94,68,77,0,0,ae,Normal
1478198377,043f,8,0,40,60,ff,7e,cc,8,0,Normal
1478198377,370,8,0,20,0,0,0,0,0,0,Normal
1478198377,440,8,ff,0,0,0,ff,cc,8,0,Normal
1478198377,316,8,5,21,70,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,6c,9,Normal
1478198377,02a0,8,4,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,0c,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,0,0,89,0,0,0,0,Normal
1478198377,04f0,8,0,0,0,80,0,69,d1,13,Normal
1478198377,05f0,2,1,0,Normal,,,,,,
1478198377,430,8,0,0,0,0,0,0,0,0,Normal
1478198377,04b1,8,29,27,27,23,0,0,0,9a,Normal
1478198377,01f1,8,8,0,0,0,0,0,0,0,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,2,8,0,0,0,0,0,9,4,68,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
1478198377,350,8,5,20,a4,68,77,0,0,9e,Normal
1478198377,130,8,7,80,0,ff,24,80,4,9,Normal
1478198377,131,8,0,80,0,0,4a,7f,4,39,Normal
1478198377,140,8,0,0,0,0,12,23,24,43,Normal
1478198377,370,8,0,20,0,0,0,0,0,0,Normal
1478198377,043f,8,0,40,60,ff,7e,cc,8,0,Normal
1478198377,440,8,ff,0,0,0,ff,cc,8,0,Normal
1478198377,316,8,5,21,70,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,6c,1a,Normal
1478198377,02a0,8,24,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,0c,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,0,0,88,0,0,0,0,Normal
1478198377,2,8,0,0,0,0,0,9,5,75,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
1478198377,130,8,9,80,0,ff,9,80,5,a0,Normal
1478198377,131,8,9,80,0,0,51,7f,5,33,Normal
1478198377,140,8,0,0,0,0,14,22,25,17,Normal
1478198377,350,8,5,20,b4,68,77,0,0,8e,Normal
1478198377,043f,8,0,40,60,ff,7e,ce,8,0,Normal
1478198377,370,8,0,20,0,0,0,0,0,0,Normal
1478198377,440,8,ff,0,0,0,ff,ce,8,0,Normal
1478198377,316,8,5,21,6c,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,6c,2b,Normal
1478198377,02a0,8,44,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,0c,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,59,0,8a,0,0,0,0,Normal
1478198377,04f0,8,0,0,0,80,0,69,d1,13,Normal
1478198377,430,8,0,0,0,0,0,0,0,0,Normal
1478198377,04b1,8,29,27,27,23,0,0,0,9a,Normal
1478198377,01f1,8,8,0,0,0,0,0,0,0,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,2,8,0,0,0,0,0,9,6,52,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
1478198377,05a0,8,0,0,0,0,0,0,0,0,Normal
1478198377,350,8,5,20,c4,68,77,0,0,fe,Normal
1478198377,130,8,0f,80,0,ff,0f,80,6,51,Normal
1478198377,131,8,17,80,0,0,52,7f,6,20,Normal
1478198377,140,8,0,0,0,0,16,22,26,33,Normal
1478198377,370,8,0,20,0,0,0,0,0,0,Normal
1478198377,043f,8,0,40,60,ff,7e,cd,8,0,Normal
1478198377,440,8,ff,0,0,0,ff,cd,8,0,Normal
1478198377,05a2,8,4,0,a5,1,0,0,0,0,Normal
1478198377,316,8,5,21,6c,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,6c,3c,Normal
1478198377,02a0,8,64,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,0c,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,0,0,8a,0,0,0,0,Normal
1478198377,2,8,0,0,0,0,0,9,7,4f,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
1478198377,130,8,16,80,0,ff,26,80,7,c9,Normal
1478198377,131,8,1b,80,0,0,4b,7f,7,1d,Normal
1478198377,140,8,0,0,0,0,18,27,27,46,Normal
1478198377,350,8,5,20,d4,68,77,0,0,ee,Normal
1478198377,043f,8,0,40,60,ff,7e,ce,8,0,Normal
1478198377,370,8,0,20,0,0,0,0,0,0,Normal
1478198377,440,8,ff,0,0,0,ff,ce,8,0,Normal
1478198377,316,8,5,21,6c,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,6c,9,Normal
1478198377,02a0,8,4,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,40,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,0,0,8a,0,0,0,0,Normal
1478198377,04f0,8,0,0,0,80,0,69,d1,13,Normal
1478198377,430,8,0,0,0,0,0,0,0,0,Normal
1478198377,04b1,8,29,27,27,23,0,0,0,9a,Normal
1478198377,01f1,8,8,0,0,0,0,0,0,0,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,2,8,0,0,0,0,0,9,8,f4,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
1478198377,350,8,5,20,e4,68,77,0,0,de,Normal
1478198377,130,8,19,80,0,ff,2d,80,8,ae,Normal
1478198377,131,8,0e,80,0,0,38,7f,8,ef,Normal
1478198377,140,8,0,0,0,0,1a,0,28,72,Normal
1478198377,370,8,0,20,0,0,0,0,0,0,Normal
1478198377,043f,8,0,40,60,ff,7e,d0,8,0,Normal
1478198377,440,8,ff,0,0,0,ff,d0,8,0,Normal
1478198377,316,8,5,21,6c,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,6b,1b,Normal
1478198377,02a0,8,24,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,40,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,0,0,87,0,0,0,0,Normal
1478198377,05f0,2,1,0,Normal,,,,,,
1478198377,2,8,0,0,0,0,0,0a,9,3d,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
1478198377,130,8,17,80,0,ff,1a,80,9,10,Normal
1478198377,131,8,f7,7f,0,0,22,7f,9,ca,Normal
1478198377,140,8,0,0,0,0,2,20,29,0e,Normal
1478198377,350,8,5,20,f4,68,77,0,0,ce,Normal
1478198377,00a0,8,5c,84,6c,9,0,1f,2,0,Normal
1478198377,00a1,8,80,89,0,0,24,0,0,0,Normal
1478198377,370,8,0,20,0,0,0,0,0,0,Normal
1478198377,043f,8,0,40,60,ff,7e,ce,8,0,Normal
1478198377,440,8,ff,0,0,0,ff,ce,8,0,Normal
1478198377,316,8,5,21,6c,9,21,21,0,6f,Normal
1478198377,018f,8,fe,5b,0,0,0,3c,0,0,Normal
1478198377,260,8,19,21,21,30,8,8e,6b,2c,Normal
1478198377,02a0,8,44,0,9a,1d,97,2,bd,0,Normal
1478198377,329,8,40,bb,7f,14,11,20,0,14,Normal
1478198377,545,8,d8,0,0,89,0,0,0,0,Normal
1478198377,04f0,8,0,0,0,80,0,69,d1,13,Normal
1478198377,430,8,0,0,0,0,0,0,0,0,Normal
1478198377,04b1,8,29,27,27,23,0,0,0,9a,Normal
1478198377,01f1,8,8,0,0,0,0,0,0,0,Normal
1478198377,153,8,0,21,10,ff,0,ff,0,0,Normal
1478198377,2,8,0,0,0,0,0,0a,0a,1a,Normal
1478198377,02c0,8,14,0,0,0,0,0,0,0,Normal
